Drought_Label,MAI,NAME_2,NDVI,NDWI,SPI,date,Rainfall_norm,LST_norm
0.1025533410316347,0.1721390035980239,Ahmadnagar,0.2870723760368481,-0.3583234601470206,0.1539738142037627,2021-05-01,0.04397561708328696,0.8089001955551995
0.0242431806537065,0.0518477093863683,Amravati,0.247004531975926,-0.3403336786116994,-0.7859511475305536,2021-05-01,0.014686790103095515,0.9098348952405797
0.0709600467402279,0.1614897819742723,Bid,0.2615401110365501,-0.3432566210556772,0.1989603596011457,2021-05-01,0.045377434460441506,0.861805703213635
0.0216015886951253,0.0803709214434588,Chandrapur,0.3043228608475676,-0.3840440076894743,-0.6713781956113635,2021-05-01,0.018256976556255917,0.8068973418518517
0.0,0.0569463080096096,Dhule,0.2275343854155585,-0.3402160601062081,-0.6826068686659156,2021-05-01,0.01790708196285686,0.9390342042334707
0.0,0.0799590503219704,Jalgaon,0.2170786217971163,-0.2930882685092788,-0.4196045420599688,2021-05-01,0.026102448564395163,0.9704388314874459
1.524393831155188,0.4551039853621851,Sindhudurg,0.2933767985075808,-0.2677339506509712,2.178394388402542,2021-05-01,0.10705821021225588,0.5457662081152921
0.0,0.1315215263247723,Latur,0.2359112192594094,-0.2844335303805357,0.0205908258131912,2021-05-01,0.03981929458083561,0.8256443993804128
0.0,0.0484282204172334,Akola,0.198569061172199,-0.2896696232798544,-0.7023526293511247,2021-05-01,0.017291787985309573,0.9586382630418349
0.0,0.1004201998666014,Aurangabad,0.2180483943206089,-0.2910917936216767,-0.2108516771600806,2021-05-01,0.032607357775860484,0.8846159826036901
0.0,0.1155208705871155,Bhandara,0.3621580736934263,-0.4304936496326583,-0.5290852532176862,2021-05-01,0.02269094047884481,0.6591050615263301
0.0,0.0567132937351618,Buldana,0.2056019531423626,-0.3006793645990827,-0.6306914116002904,2021-05-01,0.01952480986827084,0.9595630459713391
0.0,0.1515490438830354,Garhchiroli,0.3887555489268641,-0.4274747991870248,-0.3711424440826184,2021-05-01,0.027612566989313407,0.6654649272110336
0.0,0.1272747054386439,Gondiya,0.3736931548060044,-0.4408946858548564,-0.4807245814396874,2021-05-01,0.024197898380822758,0.6524964369912727
0.0,0.0695491070000809,Hingoli,0.2546958336010469,-0.3361732433470903,-0.6280464907755697,2021-05-01,0.019607227754341868,0.913063785405708
0.0,0.0898868561984529,Jalna,0.2329592755253332,-0.3253312169387736,-0.3987898532747788,2021-05-01,0.02675105121172845,0.9150267565411465
1.9302463067665483,0.8516136266109133,Kolhapur,0.4274021939125323,-0.4129140731435551,3.5142480398521565,2021-05-01,0.14868449748094467,0.44225668268976337
2.0,0.1823760183321025,Mumbai City,0.1275022199051546,-0.1207354295923326,1.9980826552851716,2021-05-01,0.10143954982044248,0.4236912026986952
1.968986248110015,0.3054780026188878,Mumbai Suburban,0.2466615817111052,-0.2375205885827641,1.6245004095781028,2021-05-01,0.08979842291899666,0.48786414832142144
0.0,0.0996874021580017,Nagpur,0.273918995027186,-0.352247326564615,-0.4244618137050101,2021-05-01,0.025951092025735936,0.8305183755664216
0.0189366168307803,0.0940508711836493,Nandurbar,0.2844570660762582,-0.3996926889775766,-0.4992485681744935,2021-05-01,0.023620675874189916,0.8885334609395152
0.1165669556152071,0.1787644975575455,Osmanabad,0.2324082894270553,-0.2781138630953917,0.5054296716045149,2021-05-01,0.05492726771249452,0.7661297267972209
0.0116458321268328,0.137544265201298,Palghar,0.2745835004395478,-0.3027913903270579,-0.1059143349224051,2021-05-01,0.035877290787203406,0.7492327901516904
0.0,0.0997939631568086,Parbhani,0.2629986063791112,-0.3376679015328524,-0.3892951403173221,2021-05-01,0.02704691419692304,0.9000562510623544
0.0825118106944269,0.1887902750938364,Ratnagiri,0.3595285140679076,-0.3365428054844108,-0.0888054660573298,2021-05-01,0.036410417068998835,0.5972981469109504
0.0,0.0691772502437725,Wardha,0.2256987055334344,-0.326552949152783,-0.5626656042749705,2021-05-01,0.021644549402863342,0.9418890917761373
0.0,0.0466070580751262,Washim,0.1872177754543886,-0.2647937609211566,-0.6864280307689437,2021-05-01,0.017788011441001252,0.9480527873934335
0.0051703262541313,0.07457613600581,Nanded,0.2570179794143241,-0.3273062366643038,-0.5798072363955672,2021-05-01,0.021110402191354807,0.9032839772901788
0.0005555680116494635,0.0926439701218116,Nashik,0.2595542324877504,-0.3391039847467494,-0.4549830035673609,2021-05-01,0.025000026902985143,0.8097361802055059
1.483150375347285,0.3847511631557698,Satara,0.3419939054122939,-0.3820065790889101,1.332488218405421,2021-05-01,0.08069908532125628,0.6191870094287644
0.3790331583441947,0.231151248325397,Pune,0.3142755710380637,-0.3517354025975038,0.4280513312336001,2021-05-01,0.05251609563450628,0.6553277697907507
0.5358791685157638,0.1804835652359155,Raigarh,0.2764952330887136,-0.2714287785960516,0.3316053402070438,2021-05-01,0.04951076003952685,0.6813876661659248
0.6304990443395957,0.2872922348219637,Solapur,0.3087966541331798,-0.3606946188014198,0.883646441456106,2021-05-01,0.06671281015914927,0.7479238785905968
1.7732260424286772,0.4124078426890373,Sangli,0.319695129813373,-0.3624988660971856,1.6671280105507715,2021-05-01,0.09112673366751163,0.6797819686965945
0.3418453696427099,0.1856216272001532,Thane,0.2482882276926118,-0.2710965167759457,0.4571519657701792,2021-05-01,0.05342289509686193,0.7854501745590892
0.0654920355065943,0.0393322308646281,Yavatmal,0.2260063408817303,-0.3193642404348749,-0.857274812766482,2021-05-01,0.012464286631293108,1.0000000000000002
